CODIGO;NOMBRE;DIRECCION;POBLACION;NIF;CODIPOS;TELEFONO;PROVINCIA;FPAGO;IMP;DTO;TARIFA;ABONO;PAIS;NACIMIENTO
1;;;MADRID;X-1234;;;MADRID;;;;;;;30/03/1984
2;BOOKING;;;X-1235;;**345653;Madrid;0;;;;;;
3;Nombre 1;Calle 1;;X-1236;28016;**345654;MADRID;0;;;;;;
8;Nombre 2;Calle 2;BATRES;X-1237;;**345655;MADRID;;;;;;;
9;Nombre 3;Calle 3;;X-1238;;**345656;;;;;;;;
10;Nombre 4;Calle 4;;X-1239;;**345657;;;;;;;;
11;Nombre 5;Calle 5;;X-1240;;**345658;;;;;;;;
12;Nombre 6;Calle 6;;X-1241;;**345659;;;;;;;;
13;Nombre 7;Calle 7;;X-1242;;**345660;;;;;;;;
14;Nombre 8;Calle 8;;X-1243;;**345661;;;;;;;;
15;Nombre 9;Calle 9;;X-1244;;**345662;;;;;;;;
16;Nombre 10;Calle 10;;X-1245;;**345663;;;;;;;;
17;Nombre 11;Calle 11;;X-1246;;**345664;;;;;;;;
18;Nombre 12;Calle 12;;X-1247;;**345665;;;;;;;;
19;Nombre 13;Calle 13;;X-1248;;**345666;;;;;;;;
20;Nombre 14;Calle 14;;X-1249;;**345667;;;;;;;;
21;Nombre 15;Calle 15;;X-1250;;**345668;;;;;;;;
22;Nombre 16;Calle 16;;X-1251;;**345669;Guadalajara;2;;;;;;
23;Nombre 17;Calle 17;;X-1252;;**345670;Barcelona;;;;;;;
25;Nombre 18;Calle 18;VALENCIA;X-1253;;**345671;VALENCIA;;;;;;;07/10/1970
26;Nombre 19;Calle 19;;X-1254;;**345672;;;;;;;;
27;Nombre 20;Calle 20;;X-1255;;**345673;;;;;;;;
28;Nombre 21;Calle 21;;X-1256;;**345674;;;;;;;;
29;Nombre 22;Calle 22;MADRID;X-1257;;**345675;MADRID;;;;;;;10/10/1957
31;Nombre 23;Calle 23;MADRID;X-1258;;**345676;MADRID;0;;;;;;
35;Nombre 24;Calle 24;COLMENAREJO;X-1259;;**345677;MADRID;;;;;;;
36;Nombre 25;Calle 25;MADRID;X-1260;;**345678;MADRID;;;;;;;
37;Nombre 26;Calle 26;ALCORCON;X-1261;;**345679;MADRID;;;;;;;
39;Nombre 27;Calle 27;MADRID;X-1262;;**345680;MADRID;;;;;;;
40;Nombre 28;Calle 28;Toledo;X-1263;;**345681;Toledo;;;;;;;
41;Nombre 29;Calle 29;Madrid;X-1264;28047;**345682;Madrid;;;;;;;
42;Nombre 30;Calle 30;Cas Catala;X-1265;7001;**345683;ILLES Balears;;;;;;;11/11/1955
43;Nombre 31;Calle 31;Zaragoza;X-1266;;**345684;Zaragoza;;;;;;;
44;Nombre 32;Calle 32;Getafe;X-1267;;**345685;Madrid;;;;;;;09/09/1983
45;Nombre 33;Calle 33;Polan;X-1268;;**345686;Toledo;;;;;;;20/07/1972
46;Nombre 34;Calle 34;El Casar;X-1269;;**345687;Guadalajara;;;;;;;
47;Nombre 35;Calle 35;Valencia;X-1270;;**345688;Valencia;;;;;;;
48;Nombre 36;Calle 36;Madrid;X-1271;;**345689;Madrid;1;;;;;;29/07/1970
49;Nombre 37;Calle 37;Alcorcón;X-1272;;**345690;Madrid;;;;;;;
50;Nombre 38;Calle 38;Valdemoro;X-1273;;**345691;Madrid;;;;;;;01/03/1968
51;Nombre 39;Calle 39;Alcobendas;X-1274;;**345692;Madrid;;;;;;;
52;Nombre 40;Calle 40;Rafaelbunyol;X-1275;;**345693;Valencia;;;;;;;20/08/1974
53;Nombre 41;Calle 41;Valencia;X-1276;;**345694;Valencia;;;;;;;04/02/1964
54;Nombre 42;Calle 42;Leganes;X-1277;;**345695;Madrid;;;;;;;08/02/1964
55;Nombre 43;Calle 43;Madrid;X-1278;;**345696;Madrid;;;;;;;
56;Nombre 44;Calle 44;Madrid;X-1279;;**345697;Madrid;;;;;;;
57;Nombre 45;Calle 45;Mostoles;X-1280;;**345698;Madrid;;;;;;;
58;Nombre 46;Calle 46;Chiclana de la Frontera;X-1281;;**345699;Cadiz;;;;;;;
59;Nombre 47;Calle 47;Mora;X-1282;;**345700;Toledo;;;;;;;
60;Nombre 48;Calle 48;;X-1283;;**345701;;;;;;;;
61;Nombre 49;Calle 49;;X-1284;;**345702;Guadalajara;;;;;;;
62;Nombre 50;Calle 50;Madrid;X-1285;;**345703;Madrid;;;;;;;04/07/1975
63;Nombre 51;Calle 51;Fuenlabrada;X-1286;;**345704;Madrid;;;;;;;10/01/1980
64;Nombre 52;Calle 52;Madrid-Miryan;X-1287;;**345705;Madrid;;;;;;;27/01/1964
65;Nombre 53;Calle 53;Madrid;X-1288;;**345706;Madrid;;;;;;;01/02/1998
66;Nombre 54;Calle 54;Turégano;X-1289;40370;**345707;Segovia;;;;;;;06/10/1961
67;Nombre 55;Calle 55;Madrid;X-1290;;**345708;Madrid;;;;;;;
68;Nombre 56;Calle 56;Madrid- miryan;X-1291;;**345709;Madrid;;;;;;;
69;Nombre 57;Calle 57; Alcobendas;X-1292;;**345710;Madrid;;;;;;;11/12/1959
70;Nombre 58;Calle 58;Madrid;X-1293;;**345711;Madrid;;;;;;;24/02/1996
71;Nombre 59;Calle 59;Rafelbuñol;X-1294;46138;**345712;Valencia;;;;;;;27/07/1968
72;Nombre 60;Calle 60;Alcobendas;X-1295;;**345713;Madrid;;;;;;;27/02/1977
73;Nombre 61;Calle 61;Madrid;X-1296;;**345714;Madrid;;;;;;;
74;Nombre 62;Calle 62;Majadahonda;X-1297;;**345715;Madrid;;;;;;;01/08/1966
75;Nombre 63;Calle 63;Madrid;X-1298;;**345716;Madrid;;;;;;;
76;Nombre 64;Calle 64;Majalahonda;X-1299;;**345717;Madrid;;;;;;;
77;Nombre 65;Calle 65;Madrid;X-1300;;**345718;Madrid;;;;;;;12/01/1960
78;Nombre 66;Calle 66;Atienza;X-1301;;**345719;Guadalajara;;;;;;;
79;Nombre 67;Calle 67;Getafe;X-1302;;**345720;Madrid;;;;;;;19/05/1968
80;Nombre 68;Calle 68;Casarrubios Del Monte;X-1303;;**345721;Toledo;;;;;;;01/08/1971
81;Nombre 69;Calle 69;LOS SANTOS DE LA MOSA;X-1304;;**345722;Madrid;;;;;;;22/07/1982
82;Nombre 70;Calle 70;Otxandio;X-1305;;**345723;Vizcaya;;;;;;;26/07/1981
83;Nombre 71;Calle 71;Sagunto;X-1306;;**345724;Valencia;;;;;;;23/06/1940
84;Nombre 72;Calle 72;Yuncos;X-1307;;**345725;Toledo;;;;;;;18/11/1958
85;Nombre 73;Calle 73;Leganes;X-1308;;**345726;Madrid;;;;;;;28/04/1974
86;Nombre 74;Calle 74; Pueblonuevo Bullanque;X-1309;;**345727;ciudad real;;;;;;;10/01/1965
87;Nombre 75;Calle 75;Getafe;X-1310;28905;**345728;Madrid;;;;;;;
88;Nombre 76;Calle 76;Madrid;X-1311;;**345729;Madrid;;;;;;;28/03/1973
89;Nombre 77;Calle 77;Madrid;X-1312;;**345730;Madrid;;;;;;;10/01/1970
90;Nombre 78;Calle 78;Salamanca;X-1313;;**345731;Salamanca;;;;;;;04/12/1963
91;Nombre 79;Calle 79;Valladolid;X-1314;;**345732;Valladoliz;;;;;;;10/02/1948
92;Nombre 80;Calle 80;Guadalajara;X-1315;;**345733;Guadalajra;;;;;;;
93;Nombre 81;Calle 81;Alcalá de Henares;X-1316;;**345734;Madrid;;;;;;;21/03/1982
94;Nombre 82;Calle 82;Madrid;X-1317;;**345735;Madrid;;;;;;;04/01/1967
95;Nombre 83;Calle 83;San Cristabal de  la Laguna;X-1318;;**345736;Santacruz de Tenerife;;;;;;;20/11/1978
96;Nombre 84;Calle 84;Consuegra;X-1319;;**345737;Toledo;;;;;;;25/11/1947
97;Nombre 85;Calle 85; Urda;X-1320;;**345738;Toledo;;;;;;;30/10/1952
98;Nombre 86;Calle 86;;X-1321;;**345739;;;;;;;;
99;Nombre 87;Calle 87;Rascafria;X-1322;;**345740;Madrid;;;;;;;19/07/1960
100;Nombre 88;Calle 88; Imón;X-1323;;**345741;Guadalajara;;;;;;;
101;Nombre 89;Calle 89;Somo - Ribamontán al Mar;X-1324;;**345742;Cantabria;;;;;;;09/06/1957
102;Nombre 90;Calle 90;ALCORCON;X-1325;;**345743;MADRID;;;;;;;19/02/1963
103;Nombre 91;Calle 91;Madrid;X-1326;;**345744;Madrid;;;;;;;16/05/1956
104;Nombre 92;Calle 92;MADRID;X-1327;;**345745;MADRID;;;;;;;10/02/1971
105;Nombre 93;Calle 93;Madrid;X-1328;;**345746;Madrid;;;;;;;06/05/1960
106;Nombre 94;Calle 94;Madird;X-1329;;**345747;Madrid;;;;;;;30/09/1960
107;Nombre 95;Calle 95;Getxo;X-1330;;**345748;Vizcaya;;;;;;;02/06/1978
108;Nombre 96;Calle 96;Getxo;X-1331;;**345749;Vizcaya;;;;;;;30/05/1978
109;Nombre 97;Calle 97;Getxo;X-1332;;**345750;Vizcaya;;;;;;;29/08/1978
110;Nombre 98;Calle 98;Getxo;X-1333;;**345751;Vizcaya;;;;;;;13/01/1978
111;Nombre 99;Calle 99;Madrid;X-1334;;**345752;Madrid;;;;;;;30/05/1975
112;Nombre 100;Calle 100;Mdrid;X-1335;;**345753;Madrid;;;;;;;16/05/1981
113;Nombre 101;Calle 101;Santiago de Compostela;X-1336;;**345754; A Coruña;;;;;;;03/02/1977
114;Nombre 102;Calle 102;Getxo;X-1337;;**345755;Vizcaya;;;;;;;05/10/1980
115;Nombre 103;Calle 103; Leganes;X-1338;;**345756;Madrid;;;;;;;19/03/1959
116;Nombre 104;Calle 104;Torrejón de la Calzada;X-1339;;**345757;Madrid;;;;;;;22/01/1984
117;Nombre 105;Calle 105;Madrid;X-1340;;**345758;Madrid;;;;;;;
118;Nombre 106;Calle 106;;X-1341;;**345759;;;;;;;;
119;Nombre 107;Calle 107; Beniel;X-1342;;**345760;Murcia;;;;;;;02/09/1967
120;Nombre 108;Calle 108;Narros;X-1343;;**345761;Guadalajara;0;;;;;;
121;Nombre 109;Calle 109;El Casar;X-1344;;**345762;Guadalajara;;;;;;;
123;Nombre 110;Calle 110;Madrid;X-1345;28009;**345763;Madrid;;;;;;;
124;Nombre 111;Calle 111;Fuensalida;X-1346;;**345764;Toledo;;;;;;;
125;Nombre 112;Calle 112;Madrid;X-1347;;**345765;Madrd;;;;;;;23/11/1960
126;Nombre 113;Calle 113;Mannheim;X-1348;;**345766;DEUTSCH;;;;;;;29/06/1944
127;Nombre 114;Calle 114;Lloret de Mar;X-1349;;**345767;Barcelona;;;;;;;16/06/1959
128;Nombre 115;Calle 115;Madrid;X-1350;;**345768;Madrid;;;;;;;24/06/1941
129;Nombre 116;Calle 116;GIJÓN;X-1351;;**345769;Asturias;;;;;;;23/06/0195
130;Nombre 117;Calle 117;Madrid;X-1352;;**345770;Madrid;;;;;;;16/09/1981
131;Nombre 118;Calle 118;Madrid;X-1353;;**345771;Madrid;;;;;;;08/10/1968
132;Nombre 119;Calle 119;Madrid;X-1354;;**345772;Madrid;;;;;;;27/11/1976
133;Nombre 120;Calle 120;Alcalá de Henares;X-1355;;**345773;Madrid;;;;;;;17/12/1982
134;Nombre 121;Calle 121;Tres Cantos;X-1356;;**345774;Madrid;;;;;;;01/05/1963
135;Nombre 122;Calle 122;Madrid;X-1357;;**345775;Madrid;;;;;;;05/06/1965
136;Nombre 123;Calle 123;Rivas-Vaciamadrid;X-1358;;**345776;Madrid;;;;;;;05/11/1973
137;Nombre 124;Calle 124;Valverde de Llenera;X-1359;;**345777;Badajoz;;;;;;;31/08/1972
138;Nombre 125;Calle 125;Albacete;X-1360;;**345778;Albacete;;;;;;;13/02/1977
139;Nombre 126;Calle 126;La Pobla Llarga;X-1361;;**345779;Valencia;;;;;;;17/07/1968
140;Nombre 127;Calle 127;Castellón;X-1362;;**345780;Castellón;;;;;;;20/02/1967
141;Nombre 128;Calle 128;Valencia;X-1363;;**345781;Valencia;;;;;;;
142;Nombre 129;Calle 129;Valencia;X-1364;;**345782;Valencia;;;;;;;14/02/1959
143;Nombre 130;Calle 130; Valencia;X-1365;;**345783;Valencia;;;;;;;22/09/1964
144;Nombre 131;Calle 131;Valencia;X-1366;;**345784;Valencia;;;;;;;28/11/1979
145;Nombre 132;Calle 132;Madrid;X-1367;;**345785;Madrid;;;;;;;26/04/1966
146;Nombre 133;Calle 133;Alcalá de Henares;X-1368;;**345786;Madrid;;;;;;;21/09/1969
147;Nombre 134;Calle 134;Madrid;X-1369;;**345787;Madrid;;;;;;;04/03/1965
148;Nombre 135;Calle 135;Parla;X-1370;;**345788;Madrid;;;;;;;13/07/1974
149;Nombre 136;Calle 136;Madrid;X-1371;;**345789;Madrid;;;;;;;22/06/1965
150;Nombre 137;Calle 137;Pozuelo de Alcorcón;X-1372;;**345790;Madrid;;;;;;;13/08/1977
151;Nombre 138;Calle 138;;X-1373;;**345791;;;;;;;;
152;Nombre 139;Calle 139;Latedo;X-1374;;**345792;Zamora;;;;;;;05/01/1973
153;Nombre 140;Calle 140;Madrid;X-1375;28009;**345793;Madrid;;;;;;;01/12/1970
154;Nombre 141;Calle 141;Madrid;X-1376;;**345794;Madrid;;;;;;;26/11/1969
155;Nombre 142;Calle 142;Muriedas;X-1377;;**345795;Cantabria;;;;;;;07/03/1977
156;Nombre 143;Calle 143;Boadilla del Monte;X-1378;;**345796;Madrid;;;;;;España;
157;Nombre 144;Calle 144;Tres Cantos;X-1379;;**345797;Madrid;;;;;;España;
158;Nombre 145;Calle 145;Toral De Los Guzmanes;X-1380;;**345798;Leon;;;;;;España;
159;Nombre 146;Calle 146;Tres Cantos;X-1381;;**345799;Madrid;;;;;;España;
160;Nombre 147;Calle 147;Tres Cantos;X-1382;;**345800;Madrid;;;;;;España;
161;Nombre 148;Calle 148;Catarroja;X-1383;;**345801;Valencia;;;;;;;
162;Nombre 149;Calle 149;Madrid;X-1384;;**345802;Madrid;;;;;;;12/09/1959
163;Nombre 150;Calle 150;Madrid;X-1385;;**345803;Madrid;;;;;;;22/01/1968
164;Nombre 151;Calle 151;Madrid;X-1386;;**345804;Madrid;;;;;;España;
165;Nombre 152;Calle 152;Camarma de Esteruelas;X-1387;;**345805;Madrid;;;;;;;08/02/1973
166;Nombre 153;Calle 153;Madrid;X-1388;;**345806;Madrid;;;;;;;29/12/1983
167;Nombre 154;Calle 154;Torrejón de Ardoz;X-1389;;**345807;Madrid;;;;;;;18/05/1969
168;Nombre 155;Calle 155;Madrid;X-1390;;**345808;Madrid;;;;;;;12/04/1966
169;Nombre 156;Calle 156;Madrid;X-1391;;**345809;Madrid;;;;;;;14/10/1967
170;Nombre 157;Calle 157;Madrid;X-1392;;**345810;Madrid;;;;;;;22/10/1973
171;Nombre 158;Calle 158;Montserraz;X-1393;;**345811;Valencia;0;;;;;;11/09/1958
172;Nombre 159;Calle 159;Guadalix de La Sierra;X-1394;;**345812;Madrid;;;;;;;
173;Nombre 160;Calle 160;Madrid;X-1395;;**345813;Madrid;;;;;;;23/03/1976
174;Nombre 161;Calle 161;Madrid;X-1396;;**345814;Madrid;;;;;;;11/02/1959
175;Nombre 162;Calle 162;Madrid;X-1397;;**345815;Madrid;;;;;;;12/11/1963
176;Nombre 163;Calle 163;Azuqueca  de Henares;X-1398;;**345816;Guadalajara;;;;;;;01/08/1977
177;Nombre 164;Calle 164;Madrid;X-1399;;**345817;Madrid;;;;;;;04/01/1960
178;Nombre 165;Calle 165;Pozuelo  de  Alarcon;X-1400;;**345818;Madrid;;;;;;;24/06/1961
179;Nombre 166;Calle 166;MOSTOLES;X-1401;;**345819;MADRID;;;;;;;11/06/1984
180;Nombre 167;Calle 167;Madrid;X-1402;;**345820;Madrid;;;;;;;12/11/1965
181;Nombre 168;Calle 168;Ciudad Real;X-1403;;**345821;Ciudad Real;;;;;;;15/01/1958
182;Nombre 169;Calle 169;POZUELO DE ALARCON;X-1404;;**345822;MADRID;;;;;;;18/04/1964
183;Nombre 170;Calle 170;VIGO;X-1405;;**345823;PONTEVEDRA;;;;;;;01/10/1965
184;Nombre 171;Calle 171;Madrid;X-1406;;**345824;MADRID;1;;;;;;
185;Nombre 172;Calle 172;Madrid;X-1407;;**345825;Madrid;;;;;;;23/08/1951
186;Nombre 173;Calle 173;Madrid;X-1408;;**345826;MADRID;;;;;;;24/12/1975
187;Nombre 174;Calle 174;MOSTOLES;X-1409;;**345827;MADRID;;;;;;;24/12/1972
188;Nombre 175;Calle 175;VILLANUEVA DEL PARDILLO;X-1410;;**345828;MADRID;;;;;;;02/02/1975
189;Nombre 176;Calle 176;SANTANDER;X-1411;;**345829;CANTABRIA;;;;;;;17/05/1973
190;Nombre 177;Calle 177;SORIA;X-1412;;**345830;SORIA;;;;;;;07/05/1934
191;Nombre 178;Calle 178;VALLADOLID;X-1413;;**345831;VALLADOLID;;;;;;;30/05/1951
192;Nombre 179;Calle 179;;X-1414;;**345832;;;;;;;;
193;Nombre 180;Calle 180;Coslada;X-1415;;**345833;Madrid;;;;;;;20/06/1958
194;Nombre 181;Calle 181;Madrid;X-1416;;**345834;Madrid;;;;;;;19/07/1966
195;Nombre 182;Calle 182; Las Rozas de Madrid;X-1417;;**345835;Madrid;;;;;;;30/08/1961
196;Nombre 183;Calle 183;Madrid;X-1418;;**345836;Madrid;;;;;;;10/05/1965
198;Nombre 184;Calle 184;Madrid;X-1419;;**345837;Madrid;;;;;;;03/09/1947
199;Nombre 185;Calle 185;Madrid;X-1420;28009;**345838;MADRID;;;;;;ESPAÑA;10/05/1969
2;Nombre 186;Calle 186;BOADILLA DEL MONTE;X-1421;;**345839;Madrid;;;;;;;30/07/1944
200;Nombre 187;Calle 187;Madrid;X-1422;;**345840;Madrid;;;;;;ESPAÑA;24/06/1945
201;Nombre 188;Calle 188;Las Rozas;X-1423;;**345841;Madrid;;;;;;;12/08/1957
202;Nombre 189;Calle 189;Madrid;X-1424;;**345842;MADRID;;;;;;;23/06/1971
203;Nombre 190;Calle 190;Madrid;X-1425;28009;**345843;MADRID;;;;;;ESPAÑA;25/11/1974
204;Nombre 191;Calle 191;Madrid;X-1426;;**345844;Madrid;;;;;;España;07/04/1947
205;Nombre 192;Calle 192;Madrid;X-1427;;**345845;Madrid;;;;;;España;03/12/1977
206;Nombre 193;Calle 193;FUENLABRADA;X-1428;;**345846;MADRID;;;;;;España;12/01/1981
207;Nombre 194;Calle 194;Castelló dela Plana;X-1429;;**345847;Castellón;;;;;;España;27/10/1970
208;Nombre 195;Calle 195;Santa Brigida;X-1430;;**345848;Las Palmas;;;;;;España;11/10/1944
209;Nombre 196;Calle 196;Albacete;X-1431;;**345849;Albacete;;;;;;España;23/11/1967
210;Nombre 197;Calle 197;Alcalá de Henares;X-1432;;**345850;Madrid;;;;;;España;04/10/1968
211;Nombre 198;Calle 198;MORA;X-1433;;**345851;TOLEDO;;;;;;España;28/05/1970
212;Nombre 199;Calle 199;Gijon;X-1434;;**345852;Asturias;;;;;;España;18/11/1961
213;Nombre 200;Calle 200;Madrid;X-1435;;**345853;Madrid;;;;;;España;21/07/1960
214;Nombre 201;Calle 201;Madrid;X-1436;;**345854;Madrid;;;;;;España;
215;Nombre 202;Calle 202;Madrid;X-1437;28009;**345855;Madrid;;;;;;España;27/12/1965
216;Nombre 203;Calle 203;Madrid;X-1438;;**345856;Madrid;;;;;;España;09/05/1979
217;Nombre 204;Calle 204;Madrid;X-1439;;**345857;Madrid;;;;;;España;06/01/1966
218;Nombre 205;Calle 205;ALARCON;X-1440;;**345858;MADRID;;;;;;España;06/06/1965
219;Nombre 206;Calle 206;Torrejon de Ardoz;X-1441;;**345859;Madrid;;;;;;España;18/08/1954
220;Nombre 207;Calle 207;Madrid;X-1442;;**345860;Madrid;;;;;;España;05/12/1956
221;Nombre 208;Calle 208;Oviedo;X-1443;;**345861;Asturias;;;;;;España;04/10/1964
222;Nombre 209;Calle 209;Madrid;X-1444;28009;**345862;Madrid;;;;;;España;25/05/1979
223;Nombre 210;Calle 210;LOS MOLINOS;X-1445;;**345863;Madrid;;;;;;España;25/02/1956
224;Nombre 211;Calle 211;Marchamalo;X-1446;;**345864;Guadalajara;;;;;;España;10/11/1969
225;Nombre 212;Calle 212;Madrid;X-1447;;**345865;Madrid;;;;;;España;16/02/1949
226;Nombre 213;Calle 213;Vigo;X-1448;;**345866;Pontevedra;;;;;;España;23/09/1969
227;Nombre 214;Calle 214;Madrid;X-1449;;**345867;Madrid;;;;;;España;12/03/1962
228;Nombre 215;Calle 215;Guadalajara;X-1450;;**345868;Guadalajara;;;;;;España;07/03/1962
229;Nombre 216;Calle 216;Madrid;X-1451;;**345869;Madrid;;;;;;España;20/06/1967
230;Nombre 217;Calle 217;Pinto;X-1452;;**345870;Madrid;;;;;;España;21/12/1967
231;Nombre 218;Calle 218;Madrid;X-1453;28015;**345871;Madrid;;;;;;España;07/03/1964
232;Nombre 219;Calle 219;Granada;X-1454;;**345872;Granada;;;;;;España;27/11/1970
233;Nombre 220;Calle 220;Rubielos Bajos;X-1455;;**345873;Cuenca;;;;;;España;23/11/1961
234;Nombre 221;Calle 221;Castro-urdiales;X-1456;;**345874;Cantabria;;;;;;España;17/09/1970
235;Nombre 222;Calle 222;Ribatejada;X-1457;;**345875;Madrid;;;;;;España;
236;Nombre 223;Calle 223;CINTRUENIGO;X-1458;;**345876;NAVARRA;;;;;;España;10/11/1962
237;Nombre 224;Calle 224;Madrid;X-1459;;**345877;Madrid;;;;;;España;27/10/1960
238;Nombre 225;Calle 225;A Coruña;X-1460;;**345878;A  Coruña;;;;;;España;23/06/1963
239;Nombre 226;Calle 226;LAS ROZAS DE MADRID;X-1461;;**345879;MDRID;;;;;;España;17/09/1962
240;Nombre 227;Calle 227;Las Rozas de Madrid;X-1462;;**345880;Madrid;;;;;;España;23/12/1962
241;Nombre 228;Calle 228;Zaragoza;X-1463;;**345881;Zaragoza;;;;;;España;16/06/1971
242;Nombre 229;Calle 229;Madrid;X-1464;28009;**345882;Madrid;;;;;;España;28/10/1955
243;Nombre 230;Calle 230; ALCOI;X-1465;;**345883;ALACANT;;;;;;España;15/01/1959
244;Nombre 231;Calle 231;Madrid;X-1466;;**345884;Madrid;;;;;;España;12/10/1955
245;Nombre 232;Calle 232;Madrid;X-1467;28001;**345885;Madrid;;;;;;España;
246;Nombre 233;Calle 233;Madrid;X-1468;;**345886;Madrid;;;;;;España;05/04/1965
247;Nombre 234;Calle 234;Rivas-Vaciamadrid;X-1469;;**345887;Madrid;;;;;;España;10/06/1981
248;Nombre 235;Calle 235;Ugena;X-1470;;**345888;Toledo;;;;;;España;18/05/1968
249;Nombre 236;Calle 236;Torrejon de Ardoz;X-1471;;**345889;Madrid;;;;;;España;07/12/1967
250;Nombre 237;Calle 237;Guadalajara;X-1472;;**345890;Guadalajara;;;;;;España;23/06/1973
251;Nombre 238;Calle 238;Alcobendas;X-1473;;**345891;Madrid;;;;;;España;02/04/1969
252;Nombre 239;Calle 239;Guadalajara;X-1474;;**345892;Guadalajara;;;;;;España;19/05/1974
253;Nombre 240;Calle 240;Tarancon;X-1475;;**345893;Cuenca;;;;;;España;22/07/1968
254;Nombre 241;Calle 241;Madrid;X-1476;;**345894;Madrifd;;;;;;España;15/03/1963
255;Nombre 242;Calle 242;;X-1477;;**345895;;;;;;;España;
256;Nombre 243;Calle 243;Azuqueca de Henares;X-1478;;**345896;Madrid;;;;;;España;08/10/1971
257;Nombre 244;Calle 244;Alcala de Henares;X-1479;;**345897;Madrid;;;;;;España;27/08/1968
258;Nombre 245;Calle 245;Madrid;X-1480;28009;**345898;Madrid;;;;;;España;10/11/1974
259;Nombre 246;Calle 246;Madrid;X-1481;28009;**345899;Madrid;;;;;;España;27/08/1965
260;Nombre 247;Calle 247;Madrid;X-1482;28009;**345900;MADRID;;;;;;España;
261;Nombre 248;Calle 248;Madrid;X-1483;28009;**345901;MADRID;;;;;;España;
262;Nombre 249;Calle 249;Madrid;X-1484;28009;**345902;MADRID;;;;;;España;03/05/1963
263;Nombre 250;Calle 250;Vilalba;X-1485;;**345903;Lugo;;;;;;España;13/05/1979
264;Nombre 251;Calle 251;Madrid;X-1486;;**345904;Madrid;;;;;;España;05/11/1980
265;Nombre 252;Calle 252;CADIZ;X-1487;;**345905;CADIZ;;;;;;España;10/12/1947
266;Nombre 253;Calle 253;Madrid;X-1488;28009;**345906;MADRID;;;;;;España;14/03/1972
267;Nombre 254;Calle 254;Madrid;X-1489;28009;**345907;;;;;;;España;
268;Nombre 255;Calle 255;SANT CUGAT DEL VALLES;X-1490;;**345908;BARCELONA;;;;;;España;18/03/1942
269;Nombre 256;Calle 256;Torrejon de Ardoz;X-1491;;**345909;Madrid;;;;;;España;03/12/1956
270;Nombre 257;Calle 257;CORDOBA;X-1492;;**345910;CORDOBA;;;;;;España;02/10/1962
271;Nombre 258;Calle 258;Alovera;X-1493;;**345911;Guadalajara;;;;;;España;01/02/1975
272;Nombre 259;Calle 259;ALCALA DE HENARES;X-1494;;**345912;MADRID;;;;;;España;08/08/1965
273;Nombre 260;Calle 260;Madrid;X-1495;28009;**345913;MADRID;;;;;;España;29/01/1957
274;Nombre 261;Calle 261;Madrid;X-1496;;**345914;Madrid;;;;;;España;10/08/1974
275;Nombre 262;Calle 262;Madrid;X-1497;;**345915;Madrid;;;;;;España;14/06/1971
276;Nombre 263;Calle 263;Donostia- San Sebastian;X-1498;;**345916;Guipuzcua;;;;;;España;06/05/1957
277;Nombre 264;Calle 264;Valencia;X-1499;;**345917;Valencia;;;;;;España;06/10/1928
278;Nombre 265;Calle 265;;X-1500;;**345918;;;;;;;España;
279;Nombre 266;Calle 266;Castellnou de Bages;X-1501;;**345919;Barcelona;;;;;;España;17/07/1954
280;Nombre 267;Calle 267;ALOVERA;X-1502;;**345920;GUADALAJARA;;;;;;España;05/03/1979
281;Nombre 268;Calle 268;Madrid;X-1503;;**345921;Madrid;;;;;;España;19/01/1967
282;Nombre 269;Calle 269;CAMPO DE CRIPTANA;X-1504;13610;**345922;CIUDAD REAL;;;;;;España;01/07/1956
283;Nombre 270;Calle 270;Madrid;X-1505;28009;**345923;MADRID;;;;;;España;26/05/1970
284;Nombre 271;Calle 271;Madrid;X-1506;;**345924;Madrid;;;;;;España;26/02/1955
285;Nombre 272;Calle 272;Campo de Criptana;X-1507;;**345925;Ciudad Real;;;;;;España;13/07/1968
286;Nombre 273;Calle 273;El Prat de Llobregat;X-1508;;**345926;Barcelona;;;;;;España;06/07/1964
287;Nombre 274;Calle 274;Aielo de Malferit;X-1509;;**345927;Valencia;;;;;;España;08/05/1972
288;Nombre 275;Calle 275;Aielo de Major   16;X-1510;;**345928;Valencia;;;;;;España;07/07/1972
289;Nombre 276;Calle 276;Tomelloso;X-1511;;**345929;Ciudad Real;;;;;;España;27/09/1947
290;Nombre 277;Calle 277;Murcia;X-1512;;**345930;Murcia;;;;;;España;18/01/1950
291;Nombre 278;Calle 278;Alcalá de Henares;X-1513;;**345931;Madrid;;;;;;España;17/06/1975
292;Nombre 279;Calle 279;Barcelona;X-1514;;**345932;Barcelona;;;;;;España;14/01/1965
293;Nombre 280;Calle 280;ALICANTE;X-1515;;**345933;ALICANTE;;;;;;España;
294;Nombre 281;Calle 281;Madrid;X-1516;28009;**345934;Madrid;;;;;;España;08/10/1968
295;Nombre 282;Calle 282;Madrid;X-1517;;**345935;Madrid;;;;;;España;28/04/1962
296;Nombre 283;Calle 283;Vizcaya;X-1518;;**345936;Vizcaya;;;;;;España;05/05/1969
297;Nombre 284;Calle 284;Madrid;X-1519;28009;**345937;Madrid;;;;;;España;15/06/1957
298;Nombre 285;Calle 285;Zamora;X-1520;;**345938;Zamora;;;;;;España;06/02/1971
